Here’s the list with commas between the first and last names:

Alex, Johnson, 23  
Jordan, Brown, 29  
Taylor, Anderson, 21  
Morgan, Thompson, 34  
Casey, Davis, 27  
Chris, White, 31  
Drew, Martin, 22  
Bailey, Jones, 24  
Skyler, Miller, 20  
Peyton, Harris, 19  
Riley, Thomas, 28  
Dakota, Moore, 26  
Avery, Wilson, 25  
Jesse, Taylor, 30  
Quinn, Martinez, 33  
Reese, Robinson, 18  
Emerson, Lee, 32  
Logan, Walker, 21  
Robin, Adams, 23  
Cameron, Hall, 27  
Jamie, Young, 29  
Leslie, Hill, 22  
Shannon, Allen, 34  
Sage, Scott, 20  
Harper, Green, 25  
Parker, Lopez, 19  
River, Wright, 24  
Lennon, Lopez, 35  
Rowan, Carter, 28  
Emery, Perez, 31  
Blake, Wright, 22  
Finley, Mitchell, 30  
Lane, Gonzalez, 33  
Sawyer, Lee, 27  
Jordan, Roberts, 26  
Mason, Evans, 20  
Hunter, Phillips, 18  
Phoenix, Turner, 25  
Reagan, Parker, 29  
Kendall, Edwards, 24  
Charlie, Evans, 19  
Ainsley, Collins, 28  
Ash, Garcia, 32  
Darby, Johnson, 21  
Fallon, Smith, 22  
Gray, Brown, 27  
Hollis, Robinson, 31  
Indigo, Martinez, 26  
Jules, Lee, 23  
Kai, Young, 34
